year,name,firstname,lastname,position,heightfeet,heightinches,heightinchestotal,weight,arms,hands,fortyyd,twentyyd,tenyd,twentyss,threecone,vertical,broad,bench,round,college,pick,pickround,picktotal,wonderlic,nflgrade
2015,Ameer Abdullah,Ameer,Abdullah,RB,5,9.0000,69.0000,205,0.0000,0.0000,4.6,0.0,0.0,3.95,6.79,42.5,130.0,24.0,0.0,Nebraska,,0,0,0.0,5.9
2015,Nelson Agholor,Nelson,Agholor,WR,6,0.0000,72.0000,198,0.0000,0.0000,4.42,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,USC,,0,0,0.0,5.6
2015,Jay Ajayi,Jay,Ajayi,RB,6,0.0000,72.0000,221,0.0000,0.0000,4.57,0.0,0.0,4.1,7.1,39.0,121.0,19.0,0.0,Boise St.,,0,0,0.0,6.0
2015,Kwon Alexander,Kwon,Alexander,OLB,6,1.0000,73.0000,227,0.0000,0.0000,4.55,0.0,0.0,4.2,7.14,36.0,121.0,24.0,0.0,LSU,,0,0,0.0,5.4
2015,Mario Alford,Mario,Alford,WR,5,8.0000,68.0000,180,0.0000,0.0000,4.43,0.0,0.0,4.07,6.64,34.0,121.0,13.0,0.0,West Virginia,,0,0,0.0,5.3
2015,Javorius Allen,Javorius,Allen,RB,6,0.0000,72.0000,221,0.0000,0.0000,4.53,0.0,0.0,4.28,6.96,35.5,121.0,11.0,0.0,USC,,0,0,0.0,5.3
2015,Adrian Amos,Adrian,Amos,FS,6,0.0000,72.0000,218,0.0000,0.0000,4.56,0.0,0.0,4.03,7.09,35.5,122.0,0.0,0.0,Penn St.,,0,0,0.0,5.5
2015,Dres Anderson,Dres,Anderson,WR,6,1.0000,73.0000,187,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,Utah,,0,0,0.0,5.5
2015,Henry Anderson,Henry,Anderson,DE,6,6.0000,78.0000,294,0.0000,0.0000,5.03,0.0,0.0,4.19,7.2,30.0,111.0,0.0,0.0,Stanford,,0,0,0.0,5.6
2015,Rory 'Busta' Anderson,Rory 'Busta',Anderson,TE,6,5.0000,77.0000,244,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Carolina,,0,0,0.0,5.5
2015,Stephone Anthony,Stephone,Anthony,ILB,6,3.0000,75.0000,243,0.0000,0.0000,4.56,0.0,0.0,4.03,7.07,37.0,122.0,23.0,0.0,Clemson,,0,0,0.0,5.4
2015,Arik Armstead,Arik,Armstead,DT,6,7.0000,79.0000,292,0.0000,0.0000,5.1,0.0,0.0,4.53,7.57,34.0,117.0,24.0,0.0,Oregon,,0,0,0.0,6.2
2015,Cameron Artis-Payne,Cameron,Artis-Payne,RB,5,10.0000,70.0000,212,0.0000,0.0000,4.53,0.0,0.0,0.0,7.13,36.5,118.0,0.0,0.0,Auburn,,0,0,0.0,5.4
2015,Neiron Ball,Neiron,Ball,OLB,6,2.0000,74.0000,236,0.0000,0.0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,Florida,,0,0,0.0,4.9
2015,Tavaris Barnes,Tavaris,Barnes,DE,6,4.0000,76.0000,282,0.0000,0.0000,4.8,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,Clemson,,0,0,0.0,5.0
