state_region,ages,year,population
AL,under18,2012,1117489.0
AL,total,2012,4817528.0
AL,under18,2010,1130966.0
AL,total,2010,4785570.0
AL,under18,2011,1125763.0
AL,total,2011,4801627.0
AL,total,2009,4757938.0
AL,under18,2009,1134192.0
AL,under18,2013,1111481.0
AL,total,2013,4833722.0
AL,total,2007,4672840.0
AL,under18,2007,1132296.0
AL,total,2008,4718206.0
AL,under18,2008,1134927.0
AL,total,2005,4569805.0
AL,under18,2005,1117229.0
AL,total,2006,4628981.0
AL,under18,2006,1126798.0
AL,total,2004,4530729.0
AL,under18,2004,1113662.0
AL,total,2003,4503491.0
AL,under18,2003,1113083.0
AL,total,2001,4467634.0
AL,under18,2001,1120409.0
AL,total,2002,4480089.0
AL,under18,2002,1116590.0
AL,under18,1999,1121287.0
AL,total,1999,4430141.0
AL,total,2000,4452173.0
AL,under18,2000,1122273.0
AL,total,1998,4404701.0
AL,under18,1998,1118252.0
AL,under18,1997,1122893.0
AL,total,1997,4367935.0
AL,total,1996,4331103.0
AL,total,1995,4296800.0
AL,under18,1995,1110553.0
AL,under18,1996,1112092.0
AL,total,1994,4260229.0
AL,total,1993,4214202.0
AL,under18,1993,1085606.0
AL,under18,1994,1097180.0
AL,under18,1992,1072873.0
AL,total,1992,4154014.0
AL,total,1991,4099156.0
AL,under18,1991,1060794.0
AL,under18,1990,1050041.0
AL,total,1990,4050055.0
AK,total,1990,553290.0
AK,under18,1990,177502.0
AK,total,1992,588736.0
AK,under18,1991,182180.0
AK,under18,1992,184878.0
AK,total,1994,603308.0
AK,under18,1994,187439.0
AK,total,1991,570193.0
AK,total,1993,599434.0
AK,under18,1993,187190.0
AK,total,1995,604412.0
AK,under18,1995,184990.0
AK,total,1996,608569.0
AK,under18,1996,185360.0
AK,under18,1997,188280.0
AK,under18,1998,192636.0
AK,total,1998,619933.0
AK,total,1997,612968.0
AK,under18,1999,191422.0
AK,total,1999,624779.0
AK,total,2000,627963.0
AK,under18,2000,190615.0
AK,total,2001,633714.0
AK,under18,2001,188771.0
AK,total,2002,642337.0
AK,under18,2002,188482.0
AK,total,2003,648414.0
AK,under18,2003,186843.0
AK,total,2004,659286.0
AK,under18,2004,186335.0
AK,total,2005,666946.0
AK,under18,2005,185304.0
AK,total,2006,675302.0
AK,under18,2006,185580.0
AK,total,2007,680300.0
AK,under18,2007,184344.0
AK,total,2008,687455.0
AK,under18,2008,183124.0
AK,under18,2013,188132.0
AK,total,2013,735132.0
AK,total,2009,698895.0
AK,under18,2009,186351.0
AK,under18,2010,187902.0
AK,total,2010,713868.0
AK,under18,2011,188329.0
AK,total,2011,723375.0
AK,under18,2012,188162.0
AK,total,2012,730307.0
AZ,under18,2012,1617149.0
AZ,total,2012,6551149.0
AZ,under18,2011,1616353.0
AZ,total,2011,6468796.0
AZ,under18,2010,1628563.0
AZ,total,2010,6408790.0
AZ,under18,2013,1616814.0
AZ,total,2013,6626624.0
AZ,total,2009,6343154.0
AZ,under18,2009,1627343.0
AZ,total,2007,6167681.0
AZ,under18,2007,1607895.0
AZ,total,2008,6280362.0
AZ,under18,2008,1628651.0
AZ,total,2005,5839077.0
AZ,under18,2005,1529168.0
AZ,total,2006,6029141.0
AZ,under18,2006,1574867.0
AZ,total,2004,5652404.0
AZ,under18,2004,1484454.0
AZ,total,2003,5510364.0
AZ,under18,2003,1453671.0
AZ,total,2001,5273477.0
AZ,under18,2001,1399015.0
AZ,total,2002,5396255.0
AZ,under18,2002,1427938.0
AZ,under18,1999,1332396.0
AZ,total,1999,5023823.0
AZ,total,2000,5160586.0
AZ,under18,2000,1373414.0
AZ,total,1998,4883342.0
AZ,under18,1998,1285794.0
AZ,total,1997,4736990.0
AZ,under18,1997,1237159.0
AZ,under18,1996,1215285.0
AZ,total,1996,4586940.0
AZ,total,1995,4432499.0
AZ,under18,1995,1173391.0
AZ,total,1993,4065440.0
AZ,under18,1993,1094233.0
AZ,under18,1994,1119857.0
AZ,total,1994,4245089.0
AZ,under18,1992,1055572.0
AZ,under18,1991,1028285.0
AZ,total,1991,3788576.0
AZ,total,1992,3915740.0
AZ,under18,1990,1006040.0
AZ,total,1990,3684097.0
AR,under18,1990,620933.0
AR,total,1990,2356586.0
AR,total,1991,2383144.0
AR,under18,1991,626212.0
AR,under18,1992,638269.0
AR,total,1992,2415984.0
AR,under18,1994,653842.0
AR,total,1994,2494019.0
AR,total,1993,2456303.0
AR,under18,1993,643474.0
AR,under18,1995,667671.0
AR,total,1995,2535399.0
AR,under18,1996,677912.0
AR,total,1996,2572109.0
AR,under18,1998,683637.0
AR,total,1997,2601091.0
AR,under18,1997,680203.0
AR,total,1998,2626289.0
AR,total,2000,2678588.0
AR,under18,2000,680378.0
AR,under18,1999,681940.0
AR,total,1999,2651860.0
AR,total,2002,2705927.0
AR,under18,2002,678798.0
AR,total,2001,2691571.0
AR,under18,2001,679606.0
AR,total,2004,2749686.0
AR,under18,2004,683166.0
AR,total,2003,2724816.0
AR,under18,2003,679579.0
AR,total,2006,2821761.0
AR,under18,2006,697842.0
AR,total,2005,2781097.0
AR,under18,2005,689787.0
AR,total,2008,2874554.0
AR,under18,2008,705725.0
AR,total,2007,2848650.0
AR,under18,2007,702737.0
AR,total,2009,2896843.0
AR,under18,2009,707886.0
AR,under18,2013,709866.0
AR,total,2013,2959373.0
AR,under18,2011,710576.0
AR,total,2011,2938506.0
AR,under18,2010,711947.0
AR,total,2010,2922280.0
AR,under18,2012,710471.0
AR,total,2012,2949828.0
CA,under18,2012,9209007.0
CA,total,2012,37999878.0
CA,under18,2011,9252336.0
CA,total,2011,37668681.0
CA,under18,2010,9284094.0
CA,total,2010,37333601.0
CA,under18,2013,9174877.0
CA,total,2013,38332521.0
CA,total,2009,36961229.0
CA,under18,2009,9294501.0
CA,total,2007,36250311.0
CA,under18,2007,9335620.0
CA,total,2008,36604337.0
CA,under18,2008,9321621.0
CA,total,2005,35827943.0
CA,under18,2005,9405565.0
CA,total,2006,36021202.0
CA,under18,2006,9370884.0
CA,total,2003,35253159.0
CA,under18,2003,9404594.0
CA,total,2004,35574576.0
CA,under18,2004,9418497.0
CA,total,2001,34479458.0
CA,under18,2001,9325466.0
CA,total,2002,34871843.0
CA,under18,2002,9365142.0
CA,under18,1999,9207878.0
CA,total,1999,33499204.0
CA,total,2000,33987977.0
CA,under18,2000,9267089.0
CA,under18,1998,9163238.0
CA,total,1998,32987675.0
CA,under18,1997,9135359.0
CA,total,1997,32486010.0
CA,under18,1996,9079519.0
CA,total,1996,32018834.0
CA,total,1995,31696582.0
CA,under18,1995,8920578.0
CA,total,1993,31274928.0
CA,under18,1993,8624810.0
CA,under18,1994,8790058.0
CA,total,1994,31484435.0
CA,total,1991,30470736.0
CA,under18,1991,8245605.0
CA,under18,1992,8439647.0
CA,total,1992,30974659.0
CA,under18,1990,7980501.0
CA,total,1990,29959515.0
CO,total,1990,3307618.0
CO,under18,1990,881640.0
CO,total,1992,3495939.0
CO,under18,1992,925577.0
CO,under18,1991,896537.0
CO,total,1991,3387119.0
CO,total,1994,3724168.0
CO,under18,1994,966412.0
CO,under18,1993,947806.0
CO,total,1993,3613734.0
CO,under18,1995,984310.0
CO,total,1995,3826653.0
CO,total,1996,3919972.0
CO,under18,1996,1003946.0
CO,under18,1997,1030557.0
CO,total,1997,4018293.0
CO,total,1998,4116639.0
CO,under18,1998,1060066.0
CO,total,2000,4326921.0
CO,under18,2000,1106676.0
CO,total,1999,4226018.0
CO,under18,1999,1083938.0
CO,total,2002,4490406.0
CO,under18,2002,1138273.0
CO,total,2001,4425687.0
CO,under18,2001,1126647.0
CO,total,2004,4575013.0
CO,under18,2004,1146369.0
CO,total,2003,4528732.0
CO,under18,2003,1144597.0
CO,total,2006,4720423.0
CO,under18,2006,1171832.0
CO,total,2005,4631888.0
CO,under18,2005,1156399.0
CO,total,2008,4889730.0
CO,under18,2008,1203289.0
CO,total,2007,4803868.0
CO,under18,2007,1189434.0
CO,total,2009,4972195.0
CO,under18,2009,1217213.0
CO,under18,2013,1237932.0
CO,total,2013,5268367.0
CO,under18,2010,1226619.0
CO,total,2010,5048196.0
CO,under18,2011,1230178.0
CO,total,2011,5118400.0
CO,under18,2012,1232864.0
CO,total,2012,5189458.0
CT,under18,2012,794959.0
CT,total,2012,3591765.0
CT,under18,2011,805109.0
CT,total,2011,3588948.0
CT,under18,2010,814187.0
CT,total,2010,3579210.0
CT,under18,2013,785566.0
CT,total,2013,3596080.0
CT,total,2009,3561807.0
CT,under18,2009,820839.0
CT,total,2007,3527270.0
CT,under18,2007,833484.0
CT,total,2008,3545579.0
